text,year,x,y,r,fill
Allston-Brighton,2016,750,1810,20,mediumaquamarine
Roxbury,2016,600,1790,20,mediumaquamarine
Jamaica Plain,2016,420,1800,20,mediumaquamarine
E. Boston,2016,410,1700,20,mediumaquamarine
Fenway-Kenmore,2016,400,2900,20,lightsalmon
Mattapan,2016,340,1350,20,mediumaquamarine
S. End,2016,330,3640,20,lightsalmon
Roslindale,2016,330,1600,20,mediumaquamarine
North End,2016,130,2350,20,lightslategray
Hyde Park,2016,320,1780,20,mediumaquamarine
W. Roxbury,2016,300,1600,20,mediumaquamarine
Back Bay,2016,500,2850,20,lightsalmon
Beacon Hill,2016,160,2450,20,lightslategray
Charlestown,2016,170,2600,20,lightsalmon
Chinatown,2016,40,2450,20,lightslategray
South Boston,2016,350,2500,20,lightsalmon
Misson Hill,2016,160,1810,20,mediumaquamarine
Dorchester,2016,1340,1900,20,mediumaquamarine
