itemName,year,x,y,r,fill,fill-opacity
Allston-Brighton,2016,750,181,15,mediumaquamarine,0.6
Roxbury,2016,600,179,15,mediumaquamarine,0.6
Jamaica Plain,2016,420,180,15,mediumaquamarine,0.6
C,,93,90,35,mediumaquamarine,
E. Boston,2016,410,170,15,mediumaquamarine,0.6
Fenway-Kenmore,2016,400,290,15,mediumaquamarine,0.6
Mattapan,2016,340,135,15,mediumaquamarine,0.6
S. End,2016,330,364,15,mediumaquamarine,0.6
Roslindale,2016,330,160,10,mediumaquamarine,0.6
North End,2016,130,235,10,mediumaquamarine,0.6
Hyde Park,2016,320,178,10,mediumaquamarine,0.6
W. Roxbury,2016,300,160,10,mediumaquamarine,0.6
Back Bay,2016,500,285,10,mediumaquamarine,0.6
Beacon Hill,2016,160,245,10,mediumaquamarine,0.6
Charlestown,2016,170,260,10,mediumaquamarine,0.6
Chinatown,2016,40,245,10,mediumaquamarine,0.6
South Boston,2016,350,250,10,mediumaquamarine,0.6
Misson Hill,2016,160,181,10,mediumaquamarine,0.6
Dorchester,2016,1340,190,10,mediumaquamarine,0.6
